# Počet opakování k = 100
# Celkový čas výpočtů: 12.76 sekund
N (počet bodů)      	pi (odhad)          	Kombinovaná nejistota uC 
50118               	3.1333253522        
63095               	3.1335605040        
79432               	3.1420082586        
100000              	3.1407200000        
125892              	3.1394210911        
158489              	3.1373786193        
199526              	3.1405230396        
251188              	3.1377772824        
316227              	3.1402884637        
398107              	3.1418287043        
501187              	3.1471526596        
630957              	3.1416340575        
794328              	3.1422082565        

k = 18
N                   	pi odhad            
1                   	0.0000000000        
2                   	0.0000000000        
3                   	2.6666666667        
5                   	3.2000000000        
6                   	3.3333333333        
7                   	3.4285714286        
10                  	1.6000000000        
12                  	3.0000000000        
15                  	2.4000000000        
19                  	3.1578947368        
25                  	2.7200000000        
31                  	2.8387096774        
39                  	3.5897435897        
50                  	3.2800000000        
63                  	3.1111111111        
79                  	3.0379746835        
100                 	2.7600000000        
125                 	3.3920000000        
158                 	3.1898734177        
199                 	3.1356783920        
251                 	2.9800796813        
316                 	3.0506329114        
398                 	3.0954773869        
501                 	3.1457085828        
630                 	3.1428571429        
794                 	3.1183879093        
1000                	3.1960000000        
1258                	3.1637519873        
1584                	3.1742424242        
1995                	3.2000000000        
2511                	3.1652727997        
3162                	3.1549652119        
3981                	3.1369002763        
5011                	3.1849930154        
6309                	3.1472499604        
7943                	3.1308069999        
10000               	3.1516000000        
12589               	3.1367066487        
15848               	3.1362948006        
19952               	3.1291098637        
25118               	3.1268413090        
31622               	3.1488204415        
39810               	3.1271539814        
50118               	3.1439403009        
63095               	3.1357793803        
79432               	3.1406486051        
100000              	3.1445200000        
125892              	3.1452991453        
158489              	3.1446472626        
199526              	3.1427683610        
251188              	3.1459623867        
316227              	3.1434254507        
398107              	3.1429238873        
501187              	3.1363542949        
630957              	3.1411459101        
794328              	3.1403702249        

k = 19
N                   	pi odhad            
1                   	4.0000000000        
2                   	4.0000000000        
